        i, Nested Eval,  Direct Eval
      1.92, -1.31251e-10,  -1.34218e-10
   1.92099, -1.22554e-10,  -1.19936e-10
   1.92199, -1.06638e-10,  -1.07022e-10
   1.92298, -1.01068e-10,  -9.53591e-11
   1.92398, -8.40146e-11,  -8.48398e-11
   1.92497, -7.55449e-11,   -7.5365e-11
   1.92596, -6.48583e-11,  -6.68426e-11
   1.92696, -6.26414e-11,  -5.91879e-11
   1.92795, -5.40012e-11,  -5.23226e-11
   1.92894, -5.02496e-11,  -4.61744e-11
   1.92994, -3.85398e-11,   -4.0677e-11
   1.93093,  -3.7744e-11,  -3.57693e-11
   1.93193, -2.91607e-11,  -3.13951e-11
   1.93292, -2.16573e-11,  -2.75031e-11
   1.93391, -2.71143e-11,  -2.40459e-11
   1.93491, -1.36993e-11,  -2.09806e-11
    1.9359, -2.28511e-11,  -1.82677e-11
   1.93689, -1.36424e-11,  -1.58712e-11
   1.93789, -1.45519e-11,  -1.37584e-11
   1.93888, -1.72236e-11,  -1.18993e-11
   1.93988, -9.43601e-12,   -1.0267e-11
   1.94087,  -8.6402e-12,  -8.83689e-12
   1.94186, -2.84217e-12,  -7.58664e-12
   1.94286, -1.09139e-11,  -6.49617e-12
   1.94385, -9.09495e-13,  -5.54732e-12
   1.94484, -6.82121e-13,  -4.72372e-12
   1.94584, -3.24007e-12,  -4.01066e-12
   1.94683,  2.50111e-12,  -3.39493e-12
   1.94783, -6.70752e-12,  -2.86471e-12
   1.94882, -1.25056e-12,  -2.40942e-12
   1.94981,  1.81899e-12,  -2.01962e-12
   1.95081,  5.91172e-12,  -1.68692e-12
    1.9518, -5.22959e-12,  -1.40386e-12
    1.9528,  1.59162e-12,  -1.16383e-12
   1.95379, -3.52429e-12,     -9.61e-13
   1.95478,  9.09495e-13,  -7.90223e-13
   1.95578,  1.81899e-12,  -6.46974e-13
   1.95677, -9.09495e-12,  -5.27291e-13
   1.95776, -1.36424e-12,  -4.27708e-13
   1.95876,  6.82121e-13,  -3.45207e-13
   1.95975,  5.68434e-13,  -2.77167e-13
   1.96075, -2.84217e-13,   -2.2132e-13
   1.96174, -2.10321e-12,  -1.75709e-13
   1.96273, -5.11591e-13,  -1.38653e-13
   1.96373,  9.09495e-13,  -1.08713e-13
   1.96472, -9.66338e-13,  -8.46647e-14
   1.96571, -2.04636e-12,  -6.54665e-14
   1.96671,  2.95586e-12,  -5.02401e-14
    1.9677, -2.89901e-12,   -3.8247e-14
    1.9687, -3.97904e-13,  -2.88697e-14
   1.96969, -1.81899e-12,  -2.15946e-14
   1.97068, -3.24007e-12,  -1.59972e-14
   1.97168,  4.66116e-12,  -1.17287e-14
   1.97267, -4.77485e-12,  -8.50435e-15
   1.97366,  7.95808e-13,   -6.0934e-15
   1.97466, -5.22959e-12,  -4.31031e-15
   1.97565, -3.29692e-12,  -3.00706e-15
   1.97665, -3.35376e-12,  -2.06661e-15
   1.97764,  -3.0127e-12,   -1.3973e-15
   1.97863,  2.16005e-12,  -9.28096e-16
   1.97963, -2.27374e-12,  -6.04549e-16
   1.98062,  -1.7053e-13,  -3.85441e-16
   1.98161, -2.33058e-12,   -2.3999e-16
   1.98261, -4.88853e-12,  -1.45542e-16
    1.9836,  2.27374e-12,  -8.57043e-17
    1.9846, -5.22959e-12,  -4.88239e-17
   1.98559,  2.27374e-12,  -2.67892e-17
   1.98658,  8.29914e-12,  -1.40816e-17
   1.98758,  3.41061e-13,  -7.04429e-18
   1.98857,  9.09495e-13,  -3.32604e-18
   1.98957,  4.54747e-12,  -1.46673e-18
   1.99056, -2.04636e-12,  -5.95881e-19
   1.99155,  1.47793e-12,  -2.18986e-19
   1.99255, -7.56017e-12,  -7.09902e-20
   1.99354, -2.44427e-12,  -1.95825e-20
   1.99453,  4.66116e-12,  -4.35423e-21
   1.99553,  5.68434e-13,  -7.15418e-22
   1.99652, -4.09273e-12,  -7.45177e-23
   1.99752, -7.38964e-12,  -3.60668e-24
   1.99851,  5.91172e-12,   -3.6347e-26
    1.9995, -4.43379e-12,  -1.84662e-30
    2.0005, -5.51381e-12,   1.84662e-30
   2.00149, -3.06954e-12,    3.6347e-26
   2.00248,  2.04636e-12,   3.60668e-24
   2.00348,  1.59162e-12,   7.45177e-23
   2.00447,  3.29692e-12,   7.15418e-22
   2.00547,  -1.7053e-13,   4.35423e-21
   2.00646, -3.06954e-12,   1.95825e-20
   2.00745,  1.13687e-13,   7.09902e-20
   2.00845, -2.16005e-12,   2.18986e-19
   2.00944,  1.13687e-12,   5.95881e-19
   2.01043, -2.16005e-12,   1.46673e-18
   2.01143,  5.68434e-13,   3.32604e-18
   2.01242, -9.09495e-13,   7.04429e-18
   2.01342,  1.08002e-11,   1.40816e-17
   2.01441, -5.11591e-13,   2.67892e-17
    2.0154,  3.63798e-12,   4.88239e-17
    2.0164,   1.7053e-12,   8.57043e-17
   2.01739,  3.52429e-12,   1.45542e-16
   2.01839,  -1.7053e-13,    2.3999e-16
   2.01938,  4.77485e-12,   3.85441e-16
   2.02037, -4.14957e-12,   6.04549e-16
   2.02137, -5.28644e-12,   9.28096e-16
   2.02236,  7.50333e-12,    1.3973e-15
   2.02335, -9.66338e-13,   2.06661e-15
   2.02435,  1.93268e-12,   3.00706e-15
   2.02534, -5.45697e-12,   4.31031e-15
   2.02634, -3.86535e-12,    6.0934e-15
   2.02733,  1.93268e-12,   8.50435e-15
   2.02832,  1.13687e-13,   1.17287e-14
   2.02932,  1.25056e-12,   1.59972e-14
   2.03031,  7.95808e-13,   2.15946e-14
    2.0313, -5.05906e-12,   2.88697e-14
    2.0323,  4.20641e-12,    3.8247e-14
   2.03329, -7.67386e-12,   5.02401e-14
   2.03429, -1.93268e-12,   6.54665e-14
   2.03528, -3.35376e-12,   8.46647e-14
   2.03627,  9.09495e-13,   1.08713e-13
   2.03727, -2.95586e-12,   1.38653e-13
   2.03826, -4.49063e-12,   1.75709e-13
   2.03925, -4.43379e-12,    2.2132e-13
   2.04025,  4.66116e-12,   2.77167e-13
   2.04124, -2.33058e-12,   3.45207e-13
   2.04224,  5.68434e-13,   4.27708e-13
   2.04323,  3.52429e-12,   5.27291e-13
   2.04422, -5.00222e-12,   6.46974e-13
   2.04522, -7.90124e-12,   7.90223e-13
   2.04621,  4.54747e-13,      9.61e-13
    2.0472,  3.75167e-12,   1.16383e-12
    2.0482, -3.63798e-12,   1.40386e-12
   2.04919,  3.18323e-12,   1.68692e-12
   2.05019,  1.47793e-12,   2.01962e-12
   2.05118,  1.81899e-12,   2.40942e-12
   2.05217, -3.63798e-12,   2.86471e-12
   2.05317,  8.07177e-12,   3.39493e-12
   2.05416,   8.6402e-12,   4.01066e-12
   2.05516,  7.50333e-12,   4.72372e-12
   2.05615,  7.95808e-12,   5.54732e-12
   2.05714,  5.11591e-12,   6.49617e-12
   2.05814,  1.62572e-11,   7.58664e-12
   2.05913,  9.54969e-12,   8.83689e-12
   2.06012,  9.77707e-12,    1.0267e-11
   2.06112,  1.17097e-11,   1.18993e-11
   2.06211,  1.15961e-11,   1.37584e-11
   2.06311,  1.47793e-11,   1.58712e-11
    2.0641,    2.467e-11,   1.82677e-11
   2.06509,  2.48974e-11,   2.09806e-11
   2.06609,  3.06954e-11,   2.40459e-11
   2.06708,  3.20597e-11,   2.75031e-11
   2.06807,  3.28555e-11,   3.13951e-11
   2.06907,  4.06999e-11,   3.57693e-11
   2.07006,  3.96767e-11,    4.0677e-11
   2.07106,  4.11546e-11,   4.61744e-11
   2.07205,   4.6839e-11,   5.23226e-11
   2.07304,  5.29781e-11,   5.91879e-11
   2.07404,  6.79847e-11,   6.68426e-11
   2.07503,  7.54881e-11,    7.5365e-11
   2.07602,  8.65157e-11,   8.48398e-11
   2.07702,  9.43601e-11,   9.53591e-11
   2.07801,  1.17893e-10,   1.07022e-10
   2.07901,  1.30058e-10,   1.19936e-10
