Iterations, Error, n
1,7.34386,100
2,1.29002,100
3,0.00691388,100
4,0.00023745,100
5,1.0423e-05,100
6,3.91419e-07,100
7,6.80492e-10,100
8,2.84858e-09,100
9,5.01828e-10,100
10,6.89762e-11,100
11,8.68194e-12,100
12,1.05138e-12,100
13,1.25011e-13,100
14,1.5099e-14,100
15,0,100
1,8.55695,200
2,0.488028,200
3,0.00764921,200
4,0.000642514,200
5,5.28602e-05,200
6,4.45545e-06,200
7,3.80942e-07,200
8,3.28027e-08,200
9,2.83444e-09,200
10,2.45343e-10,200
11,2.12558e-11,200
12,1.84053e-12,200
13,1.59317e-13,200
14,1.4766e-14,200
15,9.99201e-16,200
16,6.66134e-16,200
17,1.33227e-15,200
18,8.88178e-16,200
19,1.77636e-15,200
20,6.66134e-16,200
21,1.11022e-16,200
22,1.55431e-15,200
23,9.99201e-16,200
24,9.99201e-16,200
25,0,200
1,7.28969,400
2,1.42673,400
3,0.0031189,400
4,0.000205617,400
5,2.55612e-05,400
6,3.0607e-06,400
7,3.50424e-07,400
8,3.91966e-08,400
9,4.33349e-09,400
10,4.76252e-10,400
11,5.21767e-11,400
12,5.7041e-12,400
13,6.24167e-13,400
14,6.43929e-14,400
15,1.02141e-14,400
16,3.10862e-15,400
17,2.66454e-15,400
18,1.9984e-15,400
19,1.9984e-15,400
20,1.11022e-15,400
21,1.77636e-15,400
22,1.77636e-15,400
23,4.44089e-16,400
24,4.44089e-16,400
25,1.11022e-15,400
26,6.66134e-16,400
27,2.66454e-15,400
28,1.33227e-15,400
29,4.44089e-16,400
30,1.55431e-15,400
31,8.88178e-16,400
32,1.55431e-15,400
33,1.9984e-15,400
34,3.55271e-15,400
35,4.44089e-16,400
36,3.33067e-15,400
37,1.55431e-15,400
38,2.66454e-15,400
39,3.55271e-15,400
40,1.55431e-15,400
41,0,400
1,7.6107,800
2,1.23388,800
3,0.00110601,800
4,0.000203605,800
5,2.01312e-05,800
6,1.99012e-06,800
7,1.98827e-07,800
8,1.99363e-08,800
9,2.00041e-09,800
10,2.00698e-10,800
11,2.01288e-11,800
12,2.01861e-12,800
13,2.07834e-13,800
14,1.77636e-14,800
15,6.66134e-16,800
16,2.22045e-15,800
17,1.77636e-15,800
18,2.44249e-15,800
19,8.88178e-16,800
20,1.77636e-15,800
21,5.10703e-15,800
22,1.55431e-15,800
23,1.77636e-15,800
24,1.33227e-15,800
25,1.11022e-15,800
26,5.10703e-15,800
27,4.44089e-16,800
28,1.77636e-15,800
29,1.9984e-15,800
30,1.33227e-15,800
31,3.77476e-15,800
32,2.22045e-15,800
33,6.66134e-16,800
34,2.44249e-15,800
35,6.66134e-16,800
36,0,800
1,8.08056,1600
2,0.963687,1600
3,0.00149256,1600
4,0.000105468,1600
5,1.0216e-05,1600
6,9.38309e-07,1600
7,8.33529e-08,1600
8,7.29419e-09,1600
9,6.34089e-10,1600
10,5.49571e-11,1600
11,4.75719e-12,1600
12,4.08784e-13,1600
13,3.475e-14,1600
14,3.77476e-15,1600
15,1.22125e-15,1600
16,6.66134e-16,1600
17,2.55351e-15,1600
18,4.32987e-15,1600
19,2.77556e-15,1600
20,1.33227e-15,1600
21,1.11022e-15,1600
22,1.55431e-15,1600
23,2.44249e-15,1600
24,5.55112e-16,1600
25,1.44329e-15,1600
26,5.55112e-16,1600
27,3.9968e-15,1600
28,2.9976e-15,1600
29,2.22045e-15,1600
30,1.22125e-15,1600
31,3.66374e-15,1600
32,3.77476e-15,1600
33,8.88178e-16,1600
34,4.44089e-16,1600
35,7.77156e-16,1600
36,2.88658e-15,1600
37,1.22125e-15,1600
38,2.55351e-15,1600
39,6.88338e-15,1600
40,9.76996e-15,1600
41,3.44169e-15,1600
42,1.11022e-15,1600
43,2.66454e-15,1600
44,1.55431e-15,1600
45,1.44329e-15,1600
46,1.55431e-15,1600
47,1.33227e-15,1600
48,1.77636e-15,1600
49,1.44329e-15,1600
50,8.88178e-16,1600
51,7.77156e-16,1600
52,1.55431e-15,1600
53,2.22045e-15,1600
54,2.33147e-15,1600
55,1.88738e-15,1600
56,5.44009e-15,1600
57,2.88658e-15,1600
58,4.44089e-16,1600
59,5.55112e-16,1600
60,1.11022e-15,1600
61,1.44329e-15,1600
62,3.33067e-15,1600
63,4.21885e-15,1600
64,2.77556e-15,1600
65,1.22125e-15,1600
66,9.99201e-16,1600
67,3.33067e-16,1600
68,4.44089e-16,1600
69,2.22045e-16,1600
70,3.66374e-15,1600
71,3.55271e-15,1600
72,1.88738e-15,1600
73,8.88178e-16,1600
74,1.11022e-15,1600
75,3.77476e-15,1600
76,4.77396e-15,1600
77,1.55431e-15,1600
78,1.77636e-15,1600
79,2.10942e-15,1600
80,1.33227e-15,1600
81,1.88738e-15,1600
82,5.55112e-16,1600
83,2.22045e-15,1600
84,5.66214e-15,1600
85,2.9976e-15,1600
86,1.88738e-15,1600
87,2.22045e-16,1600
88,1.11022e-15,1600
89,2.22045e-16,1600
90,2.10942e-15,1600
91,1.77636e-15,1600
92,2.22045e-16,1600
93,8.88178e-16,1600
94,9.99201e-16,1600
95,1.11022e-16,1600
96,2.77556e-15,1600
97,3.33067e-16,1600
98,8.88178e-16,1600
99,4.44089e-15,1600
100,3.88578e-15,1600
101,8.88178e-16,1600
102,3.33067e-16,1600
103,3.33067e-16,1600
104,1.44329e-15,1600
105,1.77636e-15,1600
106,2.22045e-16,1600
107,5.88418e-15,1600
108,8.32667e-15,1600
109,2.22045e-15,1600
110,4.44089e-16,1600
111,2.88658e-15,1600
112,2.77556e-15,1600
113,2.22045e-15,1600
114,4.88498e-15,1600
115,2.9976e-15,1600
116,9.99201e-16,1600
117,8.88178e-16,1600
118,5.55112e-16,1600
119,9.99201e-16,1600
120,2.33147e-15,1600
121,3.33067e-15,1600
122,4.77396e-15,1600
123,6.77236e-15,1600
124,3.44169e-15,1600
125,4.44089e-16,1600
126,8.88178e-16,1600
127,9.99201e-16,1600
128,2.77556e-15,1600
129,1.9984e-15,1600
130,3.21965e-15,1600
131,4.55191e-15,1600
132,6.66134e-16,1600
133,2.44249e-15,1600
134,6.66134e-16,1600
135,6.32827e-15,1600
136,5.55112e-15,1600
137,2.33147e-15,1600
138,7.77156e-16,1600
139,3.33067e-15,1600
140,5.55112e-15,1600
141,6.55032e-15,1600
142,5.9952e-15,1600
143,2.33147e-15,1600
144,7.77156e-16,1600
145,1.77636e-15,1600
146,1.11022e-16,1600
147,4.44089e-16,1600
148,8.88178e-16,1600
149,6.66134e-16,1600
150,3.44169e-15,1600
151,0,1600
